Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Reading,Notes,Listening_in_Class,Project_work,Attendance,Grade
10022,22,Male,State,75%,No,Yes,Private,11,Yes,Yes,Yes,Yes,Never,CC
10023,19,Male,State,50%,No,Yes,Bus,10,Yes,Yes,Yes,No,Sometimes,DC
10024,25,Male,State,25%,No,Yes,Private,6,Yes,Yes,Yes,Yes,Always,CC
10025,21,Female,Private,0%,Yes,No,Bus,6,Yes,Yes,Yes,No,Always,CC
10026,23,Male,State,50%,No,Yes,Bike,18,Yes,No,Yes,Yes,Always,BA
10027,23,Male,State,0%,No,No,Bus,8,No,Yes,Yes,No,Always,CC
10028,19,Female,State,0%,No,No,Private,7,No,Yes,Yes,Yes,Always,DC
10029,25,Male,State,50%,No,No,Bus,5,No,Yes,No,No,Never,FF
10030,21,Female,Private,0%,No,No,Bus,9,Yes,Yes,Yes,No,Sometimes,CC
10031,22,Female,Private,0%,No,Yes,Bus,9,No,Yes,Yes,Yes,Always,FF
10032,18,Female,Private,50%,No,No,Private,8,No,Yes,Yes,Yes,Always,CC
10033,21,Male,Private,0%,No,No,Bike,10,No,Yes,Yes,Yes,Always,CC
10034,19,Male,State,25%,No,No,Bus,15,Yes,Yes,No,Yes,Sometimes,BB
10035,23,Female,State,0%,No,No,Private,6,No,No,Yes,No,Always,DC
10036,22,Female,State,50%,No,No,Bus,8,Yes,Yes,Yes,Yes,Always,DC
10037,21,Female,State,50%,Yes,Yes,Bike,5,Yes,Yes,Yes,Yes,Always,FF
10038,18,Male,Private,50%,No,No,Bus,9,Yes,Yes,Yes,No,Sometimes,CC
10039,18,Female,State,25%,No,No,Bus,6,No,Yes,No,Yes,Never,FF
10040,20,Female,Private,0%,No,Yes,Bus,6,Yes,Yes,Yes,Yes,Sometimes,CC
10041,20,Female,Private,0%,No,No,Private,2,Yes,Yes,Yes,Yes,Always,FF
10042,24,Female,Private,25%,No,Yes,Private,8,No,No,Yes,Yes,Never,DC
10043,19,Female,State,100%,No,Yes,Bus,10,Yes,Yes,Yes,Yes,Always,BB
10044,25,Female,Other,25%,No,No,Bus,15,No,Yes,Yes,Yes,Always,BB
10045,21,Male,Private,25%,No,No,Bus,10,No,Yes,No,Yes,Always,DC
10046,21,Male,Private,0%,No,No,Bus,6,Yes,Yes,Yes,No,Always,BB
10047,25,Male,State,50%,No,No,Bus,3,Yes,Yes,Yes,Yes,Never,DC
10048,24,Male,Private,50%,No,Yes,Bus,3,Yes,No,Yes,No,Sometimes,FF
10049,23,Male,State,50%,No,No,Bus,3,No,No,Yes,No,Never,FF
10050,23,Male,State,75%,No,Yes,Private,16,No,No,Yes,Yes,Never,BB
10051,24,Male,Other,50%,No,Yes,Private,9,Yes,Yes,Yes,No,Never,CC
10052,23,Male,State,0%,Yes,Yes,Bus,6,Yes,Yes,Yes,Yes,Always,DC
10053,20,Female,State,25%,No,No,Private,4,Yes,No,No,No,Sometimes,FF
10054,21,Female,State,50%,No,No,Bus,5,No,No,Yes,No,Sometimes,DC
10055,24,Male,State,50%,No,No,Private,6,Yes,Yes,No,Yes,Always,DC
10056,21,Female,State,50%,Yes,No,Bus,13,Yes,No,Yes,No,Sometimes,BB
10057,25,Female,Private,50%,No,Yes,Private,8,No,No,Yes,Yes,Always,DC
10058,18,Male,State,50%,Yes,No,Bus,2,Yes,Yes,Yes,Yes,Always,FF
10059,20,Male,State,75%,No,Yes,Bus,17,Yes,Yes,Yes,Yes,Always,BB
10060,22,Female,State,50%,No,Yes,Private,3,No,Yes,Yes,No,Sometimes,DC
10061,20,Female,State,75%,No,No,Bus,6,Yes,No,Yes,Yes,Never,DC
10062,24,Female,State,25%,No,No,Bus,13,Yes,Yes,Yes,Yes,Always,CC
10063,22,Male,Private,50%,No,No,Private,10,Yes,Yes,Yes,No,Sometimes,BB
10064,18,Male,State,100%,Yes,No,Private,6,Yes,Yes,No,No,Always,DC
10065,24,Male,State,25%,No,No,Bus,3,Yes,Yes,Yes,No,Always,DC
10066,19,Male,State,75%,No,No,Bus,4,No,Yes,Yes,Yes,Always,DC
10067,21,Male,Other,50%,No,Yes,Bus,4,Yes,Yes,Yes,Yes,Always,DC
10068,18,Male,Private,0%,No,Yes,Private,8,Yes,Yes,Yes,No,Sometimes,CC
10069,21,Female,State,50%,No,Yes,Bus,9,Yes,No,No,Yes,Always,DC
10070,23,Female,Private,0%,No,Yes,Private,7,Yes,Yes,No,No,Always,CC
10071,19,Male,Private,100%,No,Yes,Bus,8,Yes,Yes,Yes,Yes,Always,CC
10072,19,Female,State,75%,No,No,Bus,4,Yes,Yes,Yes,No,Never,DC
10073,18,Male,Private,0%,No,No,Bus,9,Yes,Yes,Yes,No,Always,CC
10074,19,Male,State,0%,Yes,No,Bus,13,Yes,No,Yes,No,Always,CC
10075,22,Male,Private,50%,No,Yes,Private,7,Yes,Yes,Yes,Yes,Always,CC
10076,19,Female,Private,25%,No,Yes,Bus,7,No,Yes,Yes,No,Always,CC
10077,21,Female,State,0%,Yes,Yes,Bike,8,Yes,Yes,Yes,Yes,Sometimes,CC
10078,21,Female,State,50%,Yes,No,Bus,12,Yes,Yes,No,Yes,Always,CC
10079,24,Male,Other,25%,Yes,Yes,Bus,4,Yes,No,Yes,Yes,Always,DC
10080,21,Female,State,0%,No,No,Bus,14,Yes,Yes,Yes,Yes,Always,BA
10081,24,Male,State,75%,No,No,Private,10,Yes,Yes,Yes,Yes,Sometimes,CC
10082,21,Female,Private,100%,No,No,Private,8,Yes,No,Yes,No,Sometimes,CC
10083,22,Female,Private,75%,Yes,Yes,Bus,13,Yes,Yes,No,Yes,Sometimes,CC
10084,25,Male,Private,75%,No,No,Bike,3,Yes,Yes,Yes,Yes,Never,DC
10085,24,Female,State,25%,No,No,Bus,10,Yes,Yes,Yes,No,Always,BB
10086,20,Female,State,25%,Yes,No,Private,10,Yes,No,No,Yes,Always,DC
10087,23,Male,State,25%,No,Yes,Private,4,Yes,No,Yes,Yes,Sometimes,DC
10088,18,Female,State,75%,No,Yes,Private,10,No,Yes,Yes,Yes,Always,CC
10089,21,Male,State,100%,No,Yes,Bike,9,Yes,Yes,Yes,Yes,Sometimes,CC
10090,19,Female,Private,50%,No,No,Private,7,Yes,Yes,Yes,Yes,Sometimes,CC
10091,25,Female,Private,75%,Yes,Yes,Bike,11,Yes,Yes,Yes,Yes,Always,BB
10092,21,Female,State,50%,No,No,Bus,6,Yes,No,Yes,No,Always,DC
10093,19,Female,State,25%,Yes,Yes,Bus,9,No,Yes,Yes,No,Always,CC
10094,23,Female,State,25%,Yes,Yes,Private,7,No,Yes,Yes,No,Always,CC
10095,23,Male,Private,0%,No,No,Private,6,Yes,Yes,Yes,Yes,Sometimes,DC
10096,23,Female,Other,0%,No,Yes,Bus,10,Yes,Yes,Yes,Yes,Never,CC
10097,19,Male,Private,50%,Yes,No,Bus,7,No,Yes,Yes,Yes,Always,DC
10098,21,Male,Private,25%,Yes,No,Private,2,No,Yes,No,Yes,Sometimes,FF
10099,23,Male,Other,50%,No,No,Bike,1,Yes,Yes,Yes,No,Always,DC
10100,22,Male,Private,50%,No,No,Bus,11,Yes,Yes,Yes,Yes,Sometimes,CC
10101,24,Female,State,25%,No,No,Bus,3,Yes,Yes,No,No,Always,FF
10102,19,Male,Private,50%,No,No,Bus,9,No,Yes,Yes,Yes,Always,CC
10103,19,Female,State,50%,Yes,Yes,Bus,8,No,Yes,No,Yes,Always,DC
10104,21,Male,Other,25%,No,No,Private,7,Yes,Yes,Yes,Yes,Always,CC
10105,19,Male,Private,75%,Yes,No,Bike,16,Yes,Yes,Yes,Yes,Never,BA
10106,19,Female,State,50%,No,No,Bus,9,No,No,Yes,No,Sometimes,DC
10107,23,Male,Private,50%,Yes,No,Bus,11,No,Yes,No,No,Always,CC
10108,21,Male,State,75%,No,No,Private,9,Yes,No,No,Yes,Always,CC
10109,23,Female,Private,75%,No,No,Bus,7,Yes,No,Yes,Yes,Always,DC
10110,24,Male,Private,75%,No,Yes,Bus,8,Yes,Yes,Yes,Yes,Sometimes,BB
10111,25,Female,Private,25%,Yes,No,Private,14,Yes,No,Yes,Yes,Always,BB
10112,24,Male,Private,0%,No,No,Private,12,Yes,No,Yes,Yes,Sometimes,CC
10113,25,Male,Other,25%,No,No,Bus,16,Yes,No,Yes,No,Always,BB
10114,23,Female,Private,25%,No,Yes,Private,9,No,Yes,No,No,Sometimes,DC
10115,24,Male,Private,100%,No,No,Bus,4,No,Yes,Yes,Yes,Sometimes,FF
10116,21,Male,State,50%,No,Yes,Bus,6,Yes,Yes,Yes,Yes,Never,CC
10117,18,Male,Private,0%,No,No,Bus,3,No,Yes,Yes,No,Always,DC
10118,23,Male,State,0%,No,Yes,Bus,11,Yes,No,Yes,Yes,Always,BB
10119,25,Female,Other,0%,No,No,Bus,6,Yes,Yes,Yes,Yes,Sometimes,DC
10120,22,Male,State,50%,Yes,Yes,Bus,0,No,Yes,Yes,Yes,Never,FF
10121,25,Female,State,50%,Yes,Yes,Private,18,Yes,No,Yes,Yes,Always,BB
10122,22,Female,State,75%,No,No,Private,6,No,No,No,Yes,Always,DC
10123,19,Male,Private,100%,No,Yes,Bus,6,Yes,Yes,Yes,Yes,Always,DC
10124,24,Female,State,25%,No,Yes,Bus,15,Yes,No,Yes,Yes,Never,BB
10125,22,Male,State,25%,No,Yes,Bus,3,Yes,Yes,Yes,No,Always,DC
10126,25,Female,State,25%,No,No,Bus,13,Yes,Yes,Yes,Yes,Sometimes,CC
10127,19,Male,State,25%,No,No,Bus,6,Yes,No,Yes,Yes,Sometimes,DC
10128,18,Female,State,100%,No,Yes,Private,3,No,No,Yes,No,Sometimes,FF
10129,21,Male,Other,50%,No,No,Bus,15,Yes,Yes,No,No,Always,CC
10130,21,Male,State,50%,No,Yes,Bus,12,Yes,Yes,Yes,Yes,Always,BB
10131,21,Female,State,50%,No,No,Bus,12,Yes,Yes,Yes,No,Sometimes,BB
10132,22,Female,State,0%,No,No,Bus,9,No,Yes,Yes,Yes,Always,CC
10133,18,Male,Private,0%,No,No,Bike,10,Yes,Yes,No,No,Sometimes,CC
10134,22,Male,Other,50%,No,No,Bus,3,Yes,Yes,Yes,No,Sometimes,DC
10135,24,Female,State,50%,No,Yes,Bus,8,No,Yes,No,No,Always,DC
10136,22,Female,Private,25%,No,Yes,Private,4,No,Yes,Yes,No,Always,DC
10137,18,Female,Private,50%,Yes,No,Bus,2,No,No,Yes,No,Always,FF
10138,18,Female,State,75%,Yes,Yes,Bus,10,Yes,Yes,Yes,Yes,Always,BB
10139,24,Female,Private,25%,No,Yes,Private,13,Yes,No,Yes,Yes,Always,CC
10140,18,Female,Private,50%,No,Yes,Private,6,No,Yes,Yes,No,Never,DC
10141,25,Male,State,25%,Yes,Yes,Bus,7,No,Yes,Yes,No,Sometimes,DC
10142,18,Male,Private,50%,No,No,Bus,3,No,Yes,Yes,No,Sometimes,FF
10143,21,Female,State,75%,No,Yes,Private,8,Yes,No,No,No,Always,CC
10144,25,Female,Private,100%,Yes,Yes,Bus,11,No,No,Yes,Yes,Always,CC
10145,25,Male,Private,25%,No,No,Bus,11,Yes,Yes,Yes,No,Never,CC
10146,24,Male,State,25%,No,Yes,Bus,10,Yes,Yes,Yes,No,Always,BB
10147,20,Female,State,0%,Yes,No,Bus,6,Yes,Yes,Yes,Yes,Always,CC
10148,20,Female,Private,25%,No,Yes,Bus,5,No,Yes,No,No,Always,DC
10149,18,Male,Private,50%,No,No,Bus,11,Yes,Yes,No,Yes,Always,CC
10150,25,Male,State,100%,No,Yes,Private,11,Yes,Yes,Yes,No,Never,BB
10151,20,Male,Private,25%,No,Yes,Bus,7,No,Yes,No,No,Always,DC
10152,20,Male,Private,0%,Yes,Yes,Bus,6,Yes,Yes,Yes,Yes,Sometimes,CC
10153,18,Male,Private,25%,No,No,Bus,13,Yes,Yes,Yes,Yes,Always,BB
10154,20,Male,State,50%,No,No,Private,7,No,Yes,Yes,Yes,Always,CC
10155,22,Female,State,25%,Yes,No,Bus,11,No,Yes,Yes,Yes,Always,BB
10156,19,Male,State,25%,No,Yes,Bus,7,Yes,Yes,No,Yes,Never,FF
10157,24,Female,State,50%,Yes,Yes,Bus,4,No,No,Yes,Yes,Always,DC
10158,19,Female,State,0%,No,Yes,Bus,14,Yes,Yes,Yes,Yes,Always,BB
10159,18,Male,State,50%,Yes,Yes,Bike,8,No,Yes,No,Yes,Always,DC
10160,21,Female,State,75%,No,Yes,Bus,5,No,Yes,Yes,No,Always,FF
10161,24,Male,Private,25%,No,No,Bus,2,Yes,Yes,Yes,Yes,Sometimes,DC
10162,18,Female,State,50%,No,No,Private,3,No,Yes,Yes,No,Sometimes,FF
10163,25,Male,State,50%,No,No,Bus,7,Yes,Yes,No,Yes,Always,DC
10164,21,Female,State,50%,No,No,Bus,16,Yes,No,No,No,Always,CC
10165,19,Female,Private,25%,No,No,Bus,6,No,No,Yes,No,Sometimes,FF
10166,18,Male,Private,25%,Yes,Yes,Private,14,Yes,No,No,Yes,Sometimes,CC
10167,25,Male,State,75%,No,No,Bus,7,Yes,Yes,No,Yes,Always,DC
10168,24,Female,State,75%,No,No,Bus,3,Yes,Yes,Yes,No,Always,DC
10169,24,Female,State,25%,No,Yes,Bus,6,Yes,Yes,Yes,Yes,Sometimes,CC
10170,23,Male,Private,0%,No,Yes,Bus,3,No,Yes,Yes,Yes,Always,CC
10171,25,Female,State,0%,Yes,No,Private,5,No,Yes,Yes,Yes,Always,DC
10172,22,Male,State,0%,No,No,Private,4,Yes,No,No,Yes,Always,FF
10173,20,Female,State,50%,No,Yes,Private,0,Yes,Yes,No,No,Always,FF
10174,21,Male,State,0%,Yes,No,Private,14,Yes,Yes,Yes,No,Sometimes,BB
10175,25,Female,State,25%,No,Yes,Bike,9,Yes,Yes,No,Yes,Always,DC
10176,23,Male,State,75%,No,Yes,Bus,5,Yes,Yes,Yes,Yes,Always,DC
10177,20,Male,State,25%,No,Yes,Bus,9,Yes,Yes,Yes,Yes,Sometimes,DC
10178,20,Male,Other,75%,Yes,Yes,Bus,5,Yes,Yes,Yes,No,Always,CC
10179,18,Male,Private,50%,No,No,Bus,0,Yes,Yes,No,No,Always,FF
10180,20,Female,Private,25%,Yes,No,Bus,20,No,No,No,Yes,Sometimes,BB
10181,22,Male,Other,50%,No,No,Bus,9,No,Yes,Yes,No,Sometimes,CC
10182,24,Female,State,50%,No,Yes,Bus,6,No,Yes,No,No,Sometimes,FF
10183,23,Male,State,25%,No,No,Bus,0,Yes,Yes,Yes,Yes,Always,CC
10184,20,Male,State,25%,Yes,Yes,Bike,2,No,No,Yes,No,Sometimes,FF
10185,18,Male,Private,50%,No,Yes,Bus,15,No,Yes,Yes,Yes,Sometimes,BB
10186,22,Male,State,100%,No,No,Bus,14,No,No,No,Yes,Always,CC
10187,19,Male,State,50%,Yes,Yes,Private,11,Yes,Yes,Yes,Yes,Always,BB
10188,24,Male,Private,0%,No,Yes,Bus,4,Yes,No,Yes,Yes,Sometimes,DC
10189,24,Male,Private,50%,No,Yes,Bus,14,Yes,Yes,Yes,No,Always,BA
10190,23,Male,State,25%,No,Yes,Bus,10,Yes,Yes,No,No,Always,CC
10191,24,Female,Private,50%,Yes,No,Private,11,No,Yes,No,Yes,Sometimes,DC
10192,20,Female,State,50%,Yes,No,Private,10,Yes,No,Yes,Yes,Always,CC
10193,18,Male,Private,50%,No,No,Bus,2,Yes,No,No,Yes,Always,FF
10194,24,Male,State,75%,No,No,Bus,3,Yes,Yes,Yes,Yes,Always,CC
10195,24,Female,Other,50%,Yes,No,Bus,6,Yes,Yes,Yes,No,Sometimes,CC
10196,19,Female,State,50%,No,No,Bus,11,No,Yes,No,Yes,Sometimes,FF
10197,19,Female,State,0%,Yes,Yes,Bike,2,Yes,Yes,Yes,Yes,Sometimes,FF
10198,21,Male,State,75%,No,No,Private,7,Yes,Yes,Yes,Yes,Never,DC
10199,22,Female,Private,100%,No,Yes,Bus,7,Yes,Yes,Yes,Yes,Always,CC
10200,20,Female,Private,0%,No,No,Private,11,Yes,Yes,Yes,No,Always,BA
10201,24,Female,Other,50%,No,Yes,Bus,11,No,No,Yes,Yes,Never,DC
10202,25,Female,State,25%,Yes,No,Bike,4,No,Yes,Yes,No,Always,DC
10203,24,Male,State,75%,No,No,Private,14,Yes,Yes,Yes,No,Always,BA
10204,18,Male,Private,50%,No,No,Bus,3,No,Yes,Yes,Yes,Always,FF
10205,21,Female,Private,0%,No,No,Private,12,Yes,Yes,Yes,No,Always,BB
10206,22,Female,Private,75%,No,Yes,Bus,6,Yes,Yes,Yes,Yes,Always,DC
10207,25,Male,State,0%,No,No,Bus,9,No,Yes,No,No,Never,DC
10208,21,Male,State,75%,Yes,Yes,Private,9,Yes,No,Yes,Yes,Always,CC
10209,23,Male,State,50%,No,Yes,Bus,9,Yes,Yes,Yes,Yes,Always,BB
10210,22,Male,State,25%,Yes,Yes,Bus,11,Yes,Yes,No,Yes,Sometimes,CC
10211,24,Female,Private,0%,Yes,Yes,Private,10,No,Yes,Yes,Yes,Sometimes,FF
10212,24,Female,Private,0%,No,No,Private,11,No,Yes,Yes,No,Sometimes,DC
10213,22,Male,Private,50%,No,No,Bus,10,Yes,Yes,Yes,Yes,Sometimes,CC
10214,24,Male,State,50%,No,No,Bus,3,Yes,Yes,Yes,No,Always,CC
10215,20,Male,Private,0%,Yes,Yes,Bus,9,Yes,Yes,Yes,No,Always,CC
10216,22,Male,Other,0%,No,Yes,Bus,6,No,No,Yes,Yes,Never,FF
10217,21,Female,Private,0%,No,Yes,Private,4,Yes,No,Yes,No,Always,DC
10218,22,Female,Other,50%,No,Yes,Bus,7,No,Yes,Yes,Yes,Sometimes,DC
10219,25,Female,State,50%,Yes,Yes,Bus,9,No,Yes,Yes,No,Sometimes,DC
10220,24,Male,Other,0%,No,Yes,Bus,9,Yes,Yes,No,No,Sometimes,DC
10221,20,Female,State,50%,No,No,Bus,12,Yes,Yes,Yes,No,Sometimes,CC
10222,20,Female,Other,0%,No,No,Private,13,Yes,Yes,Yes,Yes,Sometimes,BA
10223,23,Female,Private,100%,Yes,No,Bus,9,Yes,Yes,Yes,No,Always,BB
10224,21,Male,State,100%,No,Yes,Bus,10,Yes,Yes,Yes,Yes,Sometimes,BB
10225,19,Male,Other,50%,No,No,Private,8,Yes,Yes,No,Yes,Always,DC
10226,19,Male,Private,100%,No,No,Bus,11,Yes,No,Yes,Yes,Never,CC
10227,22,Male,Private,75%,Yes,Yes,Bus,10,Yes,No,Yes,Yes,Always,CC
10228,23,Male,State,75%,Yes,Yes,Bus,8,No,Yes,Yes,Yes,Always,CC
10229,18,Male,Other,50%,No,Yes,Bus,17,No,Yes,No,No,Never,CC
10230,22,Male,State,25%,No,Yes,Bus,6,No,Yes,Yes,No,Always,DC
10231,23,Female,State,25%,No,Yes,Bus,14,Yes,No,Yes,No,Always,CC
10232,21,Male,Private,25%,No,Yes,Bus,3,Yes,No,Yes,No,Sometimes,FF
10233,21,Male,Private,50%,Yes,Yes,Private,11,Yes,No,Yes,No,Sometimes,CC
10234,21,Female,State,0%,No,Yes,Bus,14,Yes,Yes,Yes,Yes,Always,BB
10235,21,Female,Private,25%,No,No,Private,0,Yes,Yes,Yes,No,Sometimes,FF
10236,21,Female,State,50%,No,Yes,Private,9,Yes,Yes,Yes,No,Sometimes,CC
10237,23,Female,Other,25%,No,No,Bus,11,Yes,No,Yes,Yes,Always,CC
10238,23,Female,Private,50%,No,Yes,Bus,9,Yes,No,Yes,No,Always,BB
10239,20,Female,State,100%,No,Yes,Bus,10,Yes,Yes,Yes,Yes,Sometimes,CC
10240,25,Male,Private,50%,No,No,Bus,9,Yes,Yes,Yes,Yes,Always,CC
10241,19,Male,State,50%,No,No,Bike,4,Yes,No,No,No,Always,DC
10242,24,Male,Private,50%,Yes,Yes,Bus,17,No,Yes,Yes,Yes,Never,BB
10243,21,Male,State,50%,No,No,Private,6,Yes,No,Yes,Yes,Always,DC
10244,18,Male,Private,0%,No,No,Private,10,Yes,Yes,Yes,No,Never,CC
10245,24,Female,State,75%,No,Yes,Bus,5,Yes,Yes,Yes,No,Always,CC
10246,23,Female,State,25%,Yes,Yes,Bus,0,Yes,Yes,Yes,Yes,Sometimes,FF
10247,18,Female,Private,0%,No,No,Bus,4,No,Yes,Yes,Yes,Sometimes,DC
10248,18,Male,State,75%,Yes,Yes,Private,2,Yes,Yes,No,No,Always,FF
10249,18,Female,Private,0%,Yes,Yes,Private,12,No,No,No,Yes,Always,CC
10250,20,Female,State,25%,No,Yes,Bus,6,Yes,No,Yes,Yes,Sometimes,DC
10251,23,Male,Private,0%,No,No,Bus,6,Yes,Yes,Yes,Yes,Always,DC
10252,18,Female,State,0%,Yes,No,Bus,4,No,Yes,Yes,No,Always,FF
10253,21,Male,Private,0%,No,No,Private,8,No,Yes,Yes,No,Always,DC
10254,22,Male,State,0%,No,No,Bike,5,Yes,Yes,No,Yes,Always,DC
10255,18,Female,Private,50%,Yes,No,Bus,12,No,No,Yes,No,Always,CC
10256,20,Male,State,75%,No,No,Bus,9,Yes,Yes,Yes,No,Always,BB
10257,24,Male,Private,25%,No,No,Bus,6,Yes,Yes,Yes,No,Always,CC
10258,23,Female,State,75%,No,No,Bus,11,Yes,No,Yes,No,Always,CC
10259,25,Female,State,25%,Yes,Yes,Private,8,No,Yes,Yes,No,Always,DC
10260,20,Male,Private,25%,Yes,No,Bus,8,Yes,No,Yes,Yes,Always,CC
10261,18,Male,State,0%,No,No,Private,2,No,Yes,Yes,Yes,Always,FF
10262,23,Male,Private,50%,No,No,Bus,8,Yes,No,Yes,No,Never,DC
10263,22,Female,Private,25%,No,No,Bus,9,Yes,No,No,No,Never,DC
10264,18,Male,State,50%,No,No,Bus,13,No,No,Yes,No,Always,BB
10265,20,Male,State,75%,Yes,No,Private,5,Yes,No,No,Yes,Always,FF
10266,19,Female,State,50%,No,No,Private,17,Yes,Yes,Yes,No,Always,BA
10267,21,Female,Private,50%,Yes,Yes,Bus,10,Yes,Yes,Yes,No,Always,DC
10268,25,Male,Private,100%,No,Yes,Bus,2,No,Yes,Yes,No,Always,FF
10269,24,Female,Private,25%,No,No,Bus,5,Yes,No,Yes,Yes,Never,FF
10270,20,Female,State,25%,No,Yes,Bus,14,Yes,Yes,Yes,No,Always,BA
10271,23,Male,State,50%,No,Yes,Private,13,Yes,No,No,Yes,Never,BB
10272,25,Male,State,50%,No,Yes,Bus,8,No,Yes,No,No,Always,DC
10273,25,Female,Private,0%,Yes,No,Bus,9,Yes,No,Yes,No,Always,CC
10274,25,Male,Private,25%,Yes,Yes,Private,3,No,Yes,Yes,Yes,Always,FF
10275,18,Female,Private,50%,No,No,Bus,13,No,Yes,No,No,Sometimes,DC
10276,21,Male,Private,25%,No,No,Bus,4,Yes,Yes,No,No,Sometimes,FF
10277,18,Male,Private,0%,No,Yes,Bus,11,Yes,Yes,No,Yes,Sometimes,DC
10278,23,Male,State,100%,Yes,Yes,Private,13,Yes,Yes,Yes,No,Always,BB
10279,18,Male,State,75%,No,No,Bus,8,Yes,Yes,No,Yes,Always,CC
10280,19,Male,State,50%,No,No,Bus,12,Yes,Yes,Yes,No,Always,CC
10281,21,Male,State,50%,Yes,Yes,Private,15,No,No,Yes,Yes,Sometimes,BB
10282,21,Female,Private,75%,No,Yes,Bus,9,Yes,Yes,Yes,Yes,Always,CC
10283,23,Female,State,0%,No,Yes,Private,7,Yes,Yes,Yes,No,Always,CC
10284,24,Female,Private,25%,Yes,Yes,Bike,8,Yes,No,Yes,Yes,Sometimes,DC
10285,19,Female,Other,50%,Yes,Yes,Private,5,Yes,No,Yes,Yes,Always,DC
10286,20,Male,State,75%,Yes,Yes,Private,5,Yes,Yes,Yes,No,Sometimes,CC
10287,18,Female,Private,0%,Yes,No,Bus,10,No,No,Yes,No,Always,DC
10288,22,Male,Other,100%,No,No,Bus,7,Yes,No,Yes,No,Always,CC
10289,18,Female,Private,50%,Yes,No,Private,9,Yes,No,Yes,No,Always,CC
10290,25,Female,State,25%,Yes,No,Bus,2,No,No,Yes,No,Sometimes,FF
10291,18,Female,State,25%,No,No,Bus,8,Yes,Yes,Yes,Yes,Always,CC
10292,20,Female,Private,0%,No,No,Private,12,No,Yes,Yes,Yes,Sometimes,BB
10293,18,Female,State,75%,No,Yes,Bus,4,Yes,Yes,Yes,Yes,Always,DC
10294,19,Male,State,100%,No,Yes,Bus,8,No,Yes,Yes,Yes,Never,DC
10295,19,Male,State,25%,No,No,Private,1,Yes,Yes,Yes,Yes,Sometimes,DC
10296,21,Female,Private,100%,Yes,No,Private,3,Yes,Yes,Yes,No,Always,DC
10297,23,Male,Other,75%,No,Yes,Private,11,Yes,Yes,Yes,Yes,Always,BB
10298,24,Female,Private,50%,No,Yes,Private,7,Yes,Yes,No,No,Always,DC
10299,22,Female,Private,50%,No,No,Private,15,No,Yes,Yes,No,Sometimes,CC
10300,25,Male,Private,25%,No,Yes,Private,10,Yes,Yes,No,Yes,Always,CC
10301,18,Female,Private,50%,No,Yes,Bus,10,Yes,No,Yes,Yes,Always,BB
10302,18,Female,Private,0%,No,No,Private,4,Yes,Yes,Yes,No,Sometimes,FF
10303,20,Female,Other,50%,Yes,No,Bus,6,Yes,No,Yes,No,Always,CC
10304,23,Female,Private,0%,Yes,No,Bus,5,Yes,Yes,Yes,No,Always,DC
10305,19,Female,Private,75%,No,No,Bus,4,Yes,Yes,Yes,Yes,Always,DC
10306,22,Female,Private,75%,No,No,Bus,11,Yes,Yes,No,No,Always,CC
